小分类,题目,答案
utilizzo corsie e file parallele,"Su strade a doppio senso di marcia con due corsie, come in figura, incrociando altri veicoli occorre spostarsi il più vicino possibile al margine destro della carreggiata",V
utilizzo corsie e file parallele,"In una carreggiata a doppio senso di marcia con due corsie, come in figura, i veicoli devono circolare nella corsia di destra, impegnando quella di sinistra solo per il sorpasso",V
utilizzo corsie e file parallele,"Su strada a doppio senso di marcia con due corsie, come in figura, i veicoli che percorrono il tratto in salita di un dosso devono tenersi il più possibile vicino al margine destro della carreggiata",V
utilizzo corsie e file parallele,"Su strada a doppio senso di marcia con tre corsie, come in figura, i veicoli possono usare la corsia centrale per la marcia normale",F
utilizzo corsie e file parallele,"Quando una strada è a doppio senso di marcia con tre corsie, come in figura, i veicoli possono circolare per file parallele",F
utilizzo corsie e file parallele,Per svoltare a sinistra i veicoli debbono tenersi sul margine destro della carreggiata,F
utilizzo corsie e file parallele,E' possibile circolare al centro della carreggiata quando la strada è libera,F
utilizzo corsie e file parallele,"In una strada a doppio senso di marcia con due corsie, come in figura, i veicoli possono circolare per file parallele",F
utilizzo corsie e file parallele,"In caso di intenso traffico è consentito circolare per file parallele, utilizzando le corsie riservate agli autobus e ai veicoli in servizio pubblico",F
utilizzo corsie e file parallele,Su strada a senso unico i veicoli che percorrono una curva a sinistra devono tenersi in prossimità del margine sinistro della carreggiata,F
utilizzo corsie e file parallele,"Su strada a due carreggiate separate, come in figura, i veicoli che percorrono un dosso devono tenersi vicino al margine sinistro della carreggiata",F
utilizzo corsie e file parallele,"I veicoli che percorrono una curva, su strada a due corsie per ogni senso di marcia, come in figura, possono marciare oltrepassando la striscia discontinua se la strada è libera",F
utilizzo corsie e file parallele,I veicoli che vogliono effettuare una svolta a sinistra devono tenersi il più possibile vicino al margine destro della carreggiata,F
utilizzo corsie e file parallele,"I filobus devono, di norma, circolare il più possibile vicino al margine sinistro della carreggiata",F
utilizzo corsie e file parallele,"Su strade a 2 corsie per senso di marcia, in caso di intenso traffico i ciclomotori possono circolare sulla corsia di sinistra",F
utilizzo corsie e file parallele,"In una carreggiata come in figura in caso di intenso traffico, ciclomotori e motocicli possono circolare sulla pista ciclabile se non superano la velocità di 20 km/h",F
utilizzo corsie e file parallele,"In caso di traffico intenso, i motocicli possono circolare sulle corsie di emergenza",F
utilizzo corsie e file parallele,"Su strade a 2 corsie per senso di marcia, in caso di intenso traffico i ciclomotori a due ruote possono circolare sulla corsia di sinistra",F
attenzione nel cambio di corsia,Quando si vuole cambiare corsia non si deve creare intralcio o pericolo a chi si trova sulla corsia da impegnare,V
attenzione nel cambio di corsia,Quando si vuole cambiare corsia si deve segnalare in anticipo la manovra da compiere,V
attenzione nel cambio di corsia,Quando si vuole cambiare corsia bisogna controllare che la corsia da impegnare sia libera davanti per un tratto sufficiente,V
attenzione nel cambio di corsia,Quando si vuole cambiare corsia si deve controllare che la striscia che divide le corsie sia tratteggiata,V
attenzione nel cambio di corsia,"Quando si vuole cambiare corsia si deve segnalare la manovra, facendo uso dell'indicatore di direzione",V
attenzione nel cambio di corsia,Quando si vuole cambiare corsia bisogna controllare che sulla corsia che si vuole occupare non stiano arrivando altri veicoli,V
attenzione nel cambio di corsia,"Nelle strade urbane è consentito, quando si vuole svoltare, circolare a cavallo delle strisce di corsia",F
attenzione nel cambio di corsia,Quando si vuole cambiare corsia l'uso dell'indicatore di direzione è facoltativo se ci sono le strisce discontinue (tratteggiate),F
attenzione nel cambio di corsia,"Quando si vuole cambiare corsia, per immettersi nella corsia di destra, non occorre alcuna particolare attenzione",F
attenzione nel cambio di corsia,"In vicinanza degli incroci, come in figura si può sempre cambiare corsia fino alla striscia trasversale di arresto",F
attenzione nel cambio di corsia,Quando si vuole cambiare corsia per un sorpasso è obbligatorio ridurre la velocità,F
svolte e cambi di direzioni,Quando si vuole cambiare direzione si deve azionare in anticipo l'indicatore di direzione,V
svolte e cambi di direzioni,"Per svoltare a sinistra bisogna, di norma, lasciare il centro dell'incrocio alla nostra destra, come i veicoli in figura",V
svolte e cambi di direzioni,Su strada a senso unico per svoltare a sinistra bisogna tenersi sul margine sinistro,V
svolte e cambi di direzioni,Durante l'effettuazione dell'inversione di marcia l'indicatore di direzione deve rimanere in funzione per l'intera durata della manovra,V
svolte e cambi di direzioni,"Il veicolo in figura, può svoltare a destra",F
svolte e cambi di direzioni,"Per svoltare a sinistra bisogna girare intorno al centro dell'incrocio, come i veicoli in figura",F
svolte e cambi di direzioni,Quando si vuole cambiare direzione è obbligatorio fare uso delle segnalazioni acustiche (clacson o trombe),F
svolte e cambi di direzioni,"Viaggiando su semicarreggiata a tre corsie, come in figura, per svoltare a sinistra si deve utilizzare la corsia centrale",F
strada a doppio senso di marcia,Su una strada a doppio senso di marcia per svoltare a sinistra non si deve prendere contromano la strada in cui si svolta,V
strada a doppio senso di marcia,"Su una strada a doppio senso di marcia nello svoltare a sinistra si deve, di norma, lasciare il centro dell'incrocio alla nostra destra, come i veicoli in figura",V
strada a doppio senso di marcia,Su una strada a doppio senso di marcia per svoltare a sinistra occorre inserirsi nelle corsie che consentono di proseguire in tale direzione,V
strada a doppio senso di marcia,Su una strada a doppio senso di marcia per svoltare a sinistra è necessario spostarsi a sinistra della linea continua di mezzeria,F
strada a doppio senso di marcia,Su una strada a doppio senso di marcia per svoltare a sinistra ci si deve tenere lungo il margine destro della carreggiata,F
strada a doppio senso di marcia,"Su una strada a doppio senso di marcia per svoltare a sinistra è necessario arrestarsi prima di completare la manovra, anche se non sopraggiungono veicoli",F
durante la marcia,Percorrendo una carreggiata a senso unico la svolta a sinistra si effettua segnalando in anticipo la manovra da compiere,V
durante la marcia,Durante la marcia per file parallele è consentito cambiare corsia per effettuare manovre di svolta.,V
durante la marcia,La marcia per file parallele è ammessa quando viene autorizzata dagli agenti del traffico,V
durante la marcia,E' consentita la marcia per file parallele su strade a due corsie per senso di marcia ad un incrocio regolato da semaforo,V
durante la marcia,"Su strade con almeno due corsie per senso di marcia, come in figura, qualora il traffico sia intenso, si può viaggiare per file parallele",V
durante la marcia,"Di norma, è consentito viaggiare per file parallele lungo il tratto di strada che porta ad un incrocio regolato da agenti del traffico",V
durante la marcia,"In condizioni di traffico intenso su carreggiata a senso unico a tre corsie, come in figura, è consentito viaggiare per file parallele",V
durante la marcia,"Percorrendo una carreggiata a senso unico la svolta a sinistra si effettua immettendosi in una corsia qualsiasi, se si viaggia per file parallele",F
durante la marcia,E' consentito viaggiare per file parallele lungo il tratto di strada che porta ad un incrocio non regolato da semaforo o da agenti del traffico,F
durante la marcia,"E' consentito viaggiare per file parallele su strada con due corsie e doppio senso di marcia, come quella in figura",F
durante la marcia,"E' sempre consentito viaggiare per file parallele se la carreggiata a doppio senso ha almeno due corsie per ogni senso di marcia, come quella in figura",F
durante la marcia,Nei centri urbani è consentito marciare per file parallele in qualunque condizione di traffico,F
durante la marcia,"E' obbligatorio viaggiare per file parallele sulle carreggiate a tre corsie per senso di marcia, come quella in figura",F
durante la marcia,"Durante la marcia per file parallele, percorrendo la corsia di sinistra, bisogna mantenere in funzione l'indicatore di direzione sinistro",F
durante la marcia,La marcia per file parallele non è ammessa se la strada è a una sola carreggiata,F
durante la marcia,Durante la marcia per file parallele i motocicli possono procedere passando tra i veicoli affiancati,F
obbligo di precedenza,"Agli incroci è obbligatorio dare la precedenza ai veicoli circolanti su rotaie (tram e treni), salvo diversa segnalazione",V
obbligo di precedenza,"E' obbligatorio dare la precedenza a destra e a sinistra quando, da fermi, ci si immette nella circolazione",V
obbligo di precedenza,E' obbligatorio dare la precedenza a tutti i veicoli circolanti sulle strade quando si effettua l'inversione del senso di marcia,V
obbligo di precedenza,E' obbligatorio dare la precedenza a tutti i veicoli quando si effettua la retromarcia,V
obbligo di precedenza,E' obbligatorio dare la precedenza a destra e a sinistra quando si esce da un passo carrabile,V
obbligo di precedenza,E' obbligatorio dare la precedenza a destra e a sinistra in presenza del segnale in figura,V
obbligo di precedenza,E' obbligatorio dare la precedenza a destra e a sinistra in presenza del segnale in figura,F
obbligo di precedenza,E' obbligatorio dare la precedenza a destra e a sinistra in presenza del segnale ROTATORIA,F
obbligo di precedenza,E' obbligatorio dare la precedenza a tutti i veicoli circolanti negli incroci regolati da semaforo a luce gialla lampeggiante,F
obbligo di precedenza,E' obbligatorio dare la precedenza a tutti i veicoli circolanti quando si svolta a sinistra,F
obbligo di precedenza,E' obbligatorio dare la precedenza a tutti i veicoli circolanti in presenza del segnale in figura,F
vicinanza incrocio,Giungendo in vicinanza di un incrocio bisogna predisporsi ad osservare le norme di precedenza,V
vicinanza incrocio,Giungendo in vicinanza di un incrocio ci si deve spostare per tempo sulla corsia destinata alla direzione che si intende prendere,V
